Description,Data.Sugar Total,Data.Water,Data.Vitamins.Vitamin K
"BABYFOOD,JUICE,APPLE",10.69999981,88,0
"BABYFOOD,APPLE-BANANA JUC",11,87.1,0
"BABYFOOD,JUC,APPL&PEACH",9.590000153,89,0.5
"BABYFOOD,APPLE-CRANBERRY JUC",6.880000114,88.3,2.4
"BABYFOOD,JUC,APPL&PLUM",11.53999996,87.3,0.8
"BABYFOOD,JUC,APPL&PRUNE",10.57999992,81.3,1.3
"BABYFOOD,JUICE,ORANGE",8.260000229,88.5,0.1
"BABYFOOD,JUC,ORANGE&APPL",0,88.9,0
"BABYFOOD,JUC,ORANGE&APPL&BANANA",10.02999973,87.6,0.1
"BABYFOOD,JUC,ORANGE&APRICOT",0,87.8,0
"BABYFOOD,JUC,ORANGE&BANANA",0,86.9,0
"BABYFOOD,JUC,ORANGE&PNAPPL",0,87.3,0
"BABYFOOD,JUC,PRUNE&ORANGE",0,81.9,0
"BABYFOOD,JUC,MXD FRUIT",8.460000038,87.9,0.9
"BABYFOOD,CRL,BARLEY,DRY",3.099999905,6.8,2.3
"BABYFOOD,CRL,WHL WHEAT,W/APPLS,DRY",22.20000076,1.7,8.3
"BABYFOOD,CEREAL,MIXED,DRY",0.870000005,6.7,1.5
"BABYFOOD,CRL,MXD,W/BANANAS,DRY",6.679999828,4.5,3.5
"BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,STR",7.789999962,80,0.3
"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,JR",7.789999962,79.6,0.3
"BABYFOOD,CRL,OATMEAL,DRY",3.839999914,5.9,4.1
"BABYFOOD,CRL,OATMEAL,W/BANANAS,DRY",13.75,4.7,3
"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,STR",10.48999977,82.2,2.2
"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR",9.479999542,81.8,0.6
"BABYFOOD,CRL,OATMEAL,W/HONEY,DRY",0,5.8,0
"BABYFOOD,CEREAL,RICE,DRY",0.119999997,6.7,0
"BABYFOOD,CRL,RICE,W/APPLSAUC&BANANAS,STR",2.24000001,81,0.2
