year,address.city,address.state,business.name,industry.division,industry.major_group
2003,Oak Lawn,IL,Home Depot USA Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Santa Clarita,CA,Home Depot USA Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Lewiston,ID,Home Depot USA Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,West Chester,PA,Park Lane At Bellingham Inc,Services,Health Services
2003,Viroqua,WI,Vernon Manor,Services,Health Services
2003,Prescott,AR,PRESCOTT MANOR NURSING CENTER,Services,Health Services
2003,BORGER,TX,SENIOR LIVING PROPERTIES,Services,Health Services
2003,GENEVA,NY,UNITED PARCEL SERVICE INC,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,West Sacramento,CA,Roadway Express Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,Marlow,OK,Mariner Health Care Inc,Services,Health Services
2003,La Mirada,CA,Stainless Steel Fabricators,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,Palm Springs,CA,FEDEX EXPRESS,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation By Air
2003,Tipp City,OH,Indian Creek Fabricating Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,CINCINNATI,OH,Forest Pharmaceuticals Inc,Manufacturing,Chemicals And Allied Products
2003,ELKHORN,WI,HUDAPACK METAL TREATING INC,Manufacturing,Primary Metal Industries
2003,Smithville,TN,Federal-Mogul Corporation,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,GARDEN CITY,NY,M Fortunoff of Westbury Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,Naperville,IL,Euromarket Designs Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,CROOKSTON,MN,PHOENIX INDS OF CROOKSTON LTD,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,KATY,TX,Treatment Nursing & Rehab,Services,Health Services
2003,Wichita,KS,Concrete Materials Llc,Manufacturing,"Stone, Clay, Glass, And Concrete Products"
2003,Hauppauge,NY,Coca-Cola Enterprises Inc,Manufacturing,Food And Kindred Products
2003,Corona,CA,Werner Systems Inc,Manufacturing,Primary Metal Industries
2003,Roland,OK,Sequoyah House Inc,Services,Health Services
2003,Fayetteville,AR,Washington Regional Med Ctr,Services,Health Services
2003,Milwaukee,WI,Alterra Healthcare Corp,Services,Social Services
2003,Idaho Falls,ID,Yellowstone Plastics Inc,Manufacturing,Paper And Allied Products
2003,LITTLETON,MA,BREDA TRANSPORTATION,Manufacturing,Transportation Equipment
2003,New Providence,NJ,Health Care Rtrement Corp Amer,Services,Health Services
2003,Newark,NJ,Colantuono & Klurman Assoc,Wholesale Trade,Wholesale Trade-durable Goods
2003,HUNTSVILLE,AL,NATIONAL COPPER & SMELTING CO,Manufacturing,Primary Metal Industries
